descripcion,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿Cómo se llama el bar al que suele ir Homero?,Bar de Moe,Bar de Joe,Bar Flamingo,Bar Springfield,1
¿Cuál es el apellido de soltera de Marge?,Bouvier,Hoover,Johnson,Gumble,1
¿Cómo se llama el payaso famoso de la serie?,Bozo,Krusty,Binky,Flippy,2
¿Cuál es el trabajo más conocido de Homero?,Vendedor de autos,Plomero,Inspector de seguridad en la Planta Nuclear,Policía,3
¿Cómo se llama el vecino de los Simpson?,Krusty,Skinner,Flanders,Carlson,3
¿Qué instrumento toca Lisa?,Piano,Saxofón,Violín,Trompeta,2
¿Cómo se llama el mejor amigo de Bart?,Rafa Gorgory,Milhouse,Nelson,Todd Flanders,2
¿Quién es el multimillonario dueño de la Planta Nuclear?,Skinner,Burns,Moe,Wiggum,2
¿Cómo se llama la hermana fumadora de Marge?,Selma,Patty,Agnes,Sherri,2
¿Cuál es el apellido del director de la Escuela Primaria de Springfield?,Skinner,Chalmers,Lovejoy,Terwilliger,1
¿Cómo se llama el científico de pelo blanco amigo de Homero?,Frink,Wolfcastle,Hank Scorpio,Hubert,1
¿Cómo se llama el jefe de policía de Springfield?,Lou,Wiggum,Eddie,Skinner,2
¿Cuál es el nombre del barbero/doctor de Springfield?,Nick Riviera,Dr. Hibbert,Dr. Marvin Monroe,Dr. Julius,2
¿Cómo se llama el payaso malvado que persigue a Bart en un episodio?,Krusty,Travis,Robert Terwilliger,Sideshow Bob,4
¿Quién es el presentador del noticiero?,Kent Brockman,Arnie Pye,Herb Powell,Lenny,1
¿Cómo se llama el hijo de Ned Flanders?,Milhouse,Rod,Todd,Ralph,2
¿Quién es el dueño del Kwik-E-Mart?,Apu,Sanjoy,Manjula,Arjit,1
¿Cómo se llama el compañero de trabajo de Homero que es su mejor amigo en la Planta?,Carl,Lenny,Bernardo,Roy,2
¿Qué personaje suele decir ¡Excelente!?,Bart,Milhouse,Mr. Burns,Smithers,3
¿Cómo se llama la madre de Bart?,Agnes,Selma,Marge,Patty,3
¿Qué cómic colecciona Bart?,Hombre Radioactivo,El Hombre Mosca,Bartman,Superchico,1
¿Cómo se llama el Hombre Abeja?,Bumblebee Man,Yellow Bee,Señor Abejorro,Bee Guy,1
¿Quién es el director de Krusty en su programa?,Mel,Moe,Skinner,Sideshow Mel,4
¿Cómo se llama la maestra de Lisa?,Krabappel,Hoover,Franken,Chalmers,2
¿Qué bebida energética aparece en la serie?,Buzz Cola,Duff Energy Drink,Squishee,Flaming Moe,2
¿Cómo se llama el hermano perdido de Homero?,Herb,Todd,Roy,Rod,1
¿Cuál es la bebida favorita de Homero?,Agua,Cerveza Duff,Café,Whisky,2
¿Cómo se llama el perro de la familia Simpson?,Ayudante de Santa,Pequeño Ayudante,Milagro de Navidad,Buddy,1
¿Cómo se llama el gato de la familia Simpson?,Bola de Nieve II,Bola de Nieve I,Bola de Nieve III,Whiskers,1
¿Quién es el dueño del Badulaque antes de Apu?,Nadie,Apu siempre lo tuvo,Sanjay,Manjula,3
¿Cómo se llama el padre de Milhouse?,Luann,Kirk,Arnie,Krusty,2
¿Cuál es la bebida del bar de Moe que se vuelve flameante?,Flaming Homer,Flaming Moe,Super Moe,Drinking Fire,2
¿Cómo se llama la hija del Reverendo Lovejoy?,Jessica,Janey,Laura,Georgia,1
¿Qué deporte practica Bart en el equipo escolar?,Fútbol,Básquet,Beisbol,Hockey,4
¿Qué personaje es dueño de la tienda de cómics?,Comic Book Guy,Nerd Seller,Jeff Albertson,Geek Guy,1
¿Cuál es el nombre del payaso que inspiró a Krusty?,Homer the Clown,Rusty,Bobo,Krustoff,2
¿Qué personaje dice “Yo no fui”?,Bart,Rafa,Milhouse,Nelson,1
¿Cómo se llama el empresario que intenta comprar la Planta Nuclear?,Hank Scorpio,Artie Ziff,Larry Burns,Herb Powell,2
¿Quién es la esposa de Ned Flanders?,Maude,Marge,Edna,Agnes,1
¿Cuál es el personaje que trabaja en la taberna de Moe y siempre es víctima de bromas telefónicas?,Barney,Carl,Lenny,Moe,4
